keyword,subj,positive,negative,anger,disgust,fear,happy,sad,surprise
ξαναγέννησαν,0.375,0.75,0.25,0.0,0.0,0.0,0.625,0.0,0.375
γλυκότατους,1.0,0.75,0.25,0.0,0.0,0.0,0.6875,0.0,0.25
συστηματικότερου,0.25,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.25
κλείνει,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
επιφυλακτικότερης,0.5,0.0,0.75,0.0,0.125,0.3125,0.0,0.0625,0.1875
παραισθήσεως,0.375,0.0,0.75,0.0625,0.125,0.1875,0.0,0.0,0.3125
έκαψες,0.375,0.25,0.75,0.5,0.1875,0.125,0.25,0.25,0.3125
ακούτε,0.125,0.25,0.0,0.0625,0.0625,0.0,0.125,0.0,0.125
ανωρίμου,0.625,0.0,1.0,0.25,0.375,0.0,0.0,0.125,0.0
άσπονδή,0.5,0.0,0.75,0.5,0.375,0.0625,0.0,0.125,0.125
παλαιοημερολογίτικων,0.25,0.0,0.5,0.125,0.3125,0.0,0.0,0.0,0.25
ωχριασμένες,0.75,0.0,0.75,0.1875,0.125,0.1875,0.0,0.1875,0.375
πωρώνοντάς,0.75,0.5,0.75,0.1875,0.125,0.125,0.125,0.0,0.4375
μούργου,0.625,0.25,1.0,0.25,0.3125,0.0,0.0625,0.0,0.25
χαμόμηλο,0.125,0.0,0.25,0.0,0.0625,0.0,0.0,0.0,0.0
συντροφεύουμε,0.625,1.0,0.0,0.0,0.0,0.0,0.3125,0.0,0.1875
βαρύτατε,0.5,0.0,1.0,0.0625,0.3125,0.0,0.0,0.5625,0.0625
οσμής,0.25,0.5,0.5,0.0,0.3125,0.0,0.3125,0.0,0.3125
σαδισμών,0.5,0.0,0.75,0.0625,0.3125,0.0625,0.0,0.0,0.3125
ωρυθεί,1.0,0.0,1.0,0.9375,0.3125,0.0625,0.0,0.0625,0.3125
επικοινωνήσουνε,0.25,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.1875
φαγούριζα,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
παραστάσεως,0.25,0.25,0.5,0.0,0.0,0.0,0.125,0.0,0.1875
δύσπεπτα,0.5,0.0,0.75,0.0625,0.375,0.0,0.0,0.0625,0.0625
αυτοσυγκρατήσεως,0.5,0.75,0.0,0.0,0.0,0.0,0.3125,0.0,0.3125
ψοφολογάμε,0.875,0.0,1.0,0.25,0.4375,0.0,0.0,0.0,0.25
γαμημένες,1.0,0.25,1.0,0.9375,0.625,0.1875,0.1875,0.1875,0.625
ψοφολογημένος,0.875,0.0,1.0,0.25,0.4375,0.0,0.0,0.0,0.25
ψυχρές,0.625,0.0,1.0,0.0625,0.25,0.125,0.0,0.1875,0.125
λειτούργημα,0.375,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.3125
εγκεφαλικέ,0.25,0.0,0.5,0.1875,0.1875,0.0625,0.0,0.0625,0.25
δοκησίσοφου,0.625,0.0,1.0,0.3125,0.5625,0.0625,0.0,0.0,0.1875
πικρού,0.75,0.0,1.0,0.0625,0.3125,0.0625,0.0,0.5625,0.25
εκλογικεύσουμε,0.25,0.25,0.25,0.0,0.0625,0.0625,0.0625,0.0,0.0
σφυριγμένο,0.25,0.25,0.5,0.0,0.125,0.0,0.0625,0.0,0.25
συμπαθέστερους,0.875,1.0,0.0,0.0,0.0,0.0,0.625,0.0,0.3125
ασφυκτιά,0.75,0.0,1.0,0.1875,0.25,0.375,0.0,0.1875,0.0625
πρωτόγνωρός,0.375,0.75,0.25,0.0,0.0,0.0,0.3125,0.0,0.5
γιούφτος,1.0,0.0,1.0,0.4375,0.5625,0.25,0.0,0.0,0.1875
υπεύθυνου,0.375,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0.1875
έντιμε,0.5,0.75,0.0,0.0,0.0,0.0,0.4375,0.0,0.375
λησμονώ,0.5,0.0,0.75,0.0,0.0625,0.1875,0.0,0.375,0.1875
κυριαρχήσεις,0.375,0.25,0.5,0.0625,0.125,0.1875,0.125,0.0,0.1875
καμακώσαμε,0.25,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.25
